Text to show (NAME),MULTIPLIER,ACTION,NEGATES ACTION,INSTANT DEATH
NAME went to the beach,2,RELAXED,None,FALSE
NAME played video games with friends,1,RELAXED,None,FALSE
NAME meditated after work,1,RELAXED,None,FALSE
NAME did a face mask,1,RELAXED,None,FALSE
"NAME adopted ""treat yo self""",1,RELAXED,None,FALSE
NAME went to the movies,1,RELAXED,None,FALSE
NAME pet a cat for two hours,2,RELAXED,None,FALSE
NAME read a good book,1,RELAXED,None,FALSE
NAME went on vacation,1,RELAXED,None,FALSE
NAME quit their crappy job,2,RELAXED,ANXIETY,FALSE
,,,,
NAME went on a bender and drank 7 beers,1,BODILY HARM,None,FALSE
NAME got back into smoking,1,BODILY HARM,None,FALSE
NAME finished a 2-liter of Coke in a sitting,2,BODILY HARM,None,FALSE
NAME discovered Bailey's and coffee,1,BODILY HARM,None,FALSE
NAME got hammered at a work party,1,BODILY HARM,None,FALSE
NAME discovered Long Island Iced Teas,1,BODILY HARM,None,FALSE
NAME went on a pub crawl,1,BODILY HARM,None,FALSE
NAME ate sh*t on a mountain bike,2,BODILY HARM,None,FALSE
NAME fell down the stairs (again),1,BODILY HARM,None,FALSE
"NAME ""did their own research"" for illness",2,BODILY HARM,None,FALSE
NAME slept wrong and tweaked their neck,2,BODILY HARM,None,FALSE
NAME went to McDonald's 3 times in a week,1,BODILY HARM,None,FALSE
NAME spiked their post-workout smoothie [...],1,BODILY HARM,HEALTH,FALSE
NAME turned a cheat day into a cheat month,1,BODILY HARM,HEALTH,FALSE
NAME had a few drinks after a crappy day,1,BODILY HARM,ANXIETY,FALSE
,,,,
NAME cuddled with the tiger at the zoo,1,BODILY HARM,None,TRUE
NAME played in traffic,1,BODILY HARM,None,TRUE
NAME encountered a snake while hiking,1,BODILY HARM,None,TRUE
NAME opted not to vaccinate,1,BODILY HARM,None,TRUE
NAME used essential oils instead of medicine,1,BODILY HARM,None,TRUE
NAME stepped on a Lego,1,BODILY HARM,None,TRUE
NAME risked it and pet the local coyote,1,BODILY HARM,None,TRUE
NAME did the Tide Pod challenge,1,BODILY HARM,None,TRUE
,,,,
NAME got chewed out by their boss,1,ANXIETY,None,FALSE
NAME worked a 54 hour week,1,ANXIETY,None,FALSE
NAME doom-scrolled Reddit instead of working,1,ANXIETY,None,FALSE
NAME got laid off right before retirement,2,ANXIETY,None,FALSE
NAME missed another credit card payment,1,ANXIETY,None,FALSE
NAME played DOTA,2,ANXIETY,None,FALSE
NAME went to see Morbius,1,ANXIETY,None,FALSE
NAME listened to the dulcet tones of Kenny G,2,ANXIETY,None,FALSE
NAME got Rick-rolled (again),1,ANXIETY,None,FALSE
NAME got a letter from their debt collector,2,ANXIETY,None,FALSE
NAME went on vacation and is now in debt,,ANXIETY,RELAXED,FALSE
,,,,
NAME had a kale smoothie,1,HEALTH,None,FALSE
NAME ate vegetables today,1,HEALTH,None,FALSE
NAME took vitamins today,1,HEALTH,None,FALSE
NAME rode their bike to work,1,HEALTH,None,FALSE
NAME picked salad over fries,1,HEALTH,None,FALSE
NAME took a long walk after work,1,HEALTH,None,FALSE
NAME took a yoga class,1,HEALTH,None,
NAME switched to tea from coffee,1,HEALTH,None,